,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
99,1,7.75,4.041666666666667,9.958333333333334,17.708333333333332,0.3333333333333333,0.20833333333333334,14.583333333333334,5.041666666666667,1.5833333333333333,2.5416666666666665,3.4166666666666665,3.0,1.25,1.2916666666666667,0.375,8.875,9.333333333333334,0.8333333333333334,0.5416666666666666,3.75,0.0,0.20833333333333334
100,1,14.619047619047619,4.095238095238095,5.619047619047619,20.238095238095237,0.14285714285714285,0.2857142857142857,0.0,2.9523809523809526,4.904761904761905,3.3333333333333335,0.9523809523809523,3.1904761904761907,0.5238095238095238,1.0476190476190477,0.047619047619047616,5.0476190476190474,13.0,0.19047619047619047,0.09523809523809523,1.619047619047619,0.2857142857142857,0.3333333333333333
101,1,15.6,6.2,5.6,21.2,0.15,0.3,0.0,2.2,4.35,2.2,0.3,2.7,1.05,0.85,0.25,4.7,14.65,0.5,0.05,2.2,0.4,0.4
103,1,11.777777777777779,3.611111111111111,11.555555555555555,23.333333333333332,0.2777777777777778,0.16666666666666666,0.0,4.666666666666667,0.7222222222222222,4.611111111111111,4.055555555555555,3.4444444444444446,1.4444444444444444,1.0555555555555556,0.2777777777777778,9.055555555555555,15.277777777777779,0.16666666666666666,0.05555555555555555,1.6666666666666667,0.1111111111111111,0.2777777777777778
104,1,12.444444444444445,2.7777777777777777,10.833333333333334,23.27777777777778,0.8888888888888888,1.0,0.0,3.1666666666666665,0.6111111111111112,4.222222222222222,4.111111111111111,3.7222222222222223,1.4444444444444444,1.3333333333333333,0.2777777777777778,10.166666666666666,13.38888888888889,0.1111111111111111,0.3888888888888889,0.3888888888888889,1.2222222222222223,0.5555555555555556
105,1,10.714285714285714,5.857142857142857,9.19047619047619,19.904761904761905,0.9047619047619048,0.5714285714285714,0.0,1.6666666666666667,1.6666666666666667,2.5714285714285716,1.5714285714285714,2.238095238095238,0.7142857142857143,0.5714285714285714,0.09523809523809523,5.142857142857143,15.095238095238095,0.0,0.6666666666666666,1.1428571428571428,0.3333333333333333,0.38095238095238093
106,1,13.045454545454545,5.545454545454546,5.909090909090909,18.954545454545453,0.5909090909090909,0.6363636363636364,27.09090909090909,1.8181818181818181,1.1818181818181819,3.6818181818181817,4.636363636363637,4.136363636363637,1.8181818181818181,1.5909090909090908,0.5454545454545454,11.181818181818182,7.681818181818182,2.5,1.0454545454545454,3.1363636363636362,0.0,0.13636363636363635
108,1,12.352941176470589,4.588235294117647,12.117647058823529,24.470588235294116,0.4117647058823529,0.4117647058823529,0.0,4.0588235294117645,1.2352941176470589,4.294117647058823,4.588235294117647,3.235294117647059,1.7058823529411764,0.7058823529411765,0.23529411764705882,11.058823529411764,13.823529411764707,0.23529411764705882,0.11764705882352941,0.8235294117647058,0.11764705882352941,0.29411764705882354
110,1,11.291666666666666,4.0,5.875,17.166666666666668,1.5416666666666667,0.75,0.0,2.1666666666666665,1.2083333333333333,4.0,1.9583333333333333,3.5833333333333335,0.5833333333333334,1.375,0.20833333333333334,6.5,10.625,0.125,0.7083333333333334,1.0416666666666667,0.041666666666666664,0.3333333333333333
111,1,10.652173913043478,4.608695652173913,7.260869565217392,17.91304347826087,0.391304347826087,0.30434782608695654,0.0,3.5217391304347827,2.0434782608695654,2.782608695652174,1.7826086956521738,2.782608695652174,0.9130434782608695,0.7391304347826086,0.08695652173913043,5.913043478260869,12.08695652173913,0.21739130434782608,0.30434782608695654,1.565217391304348,0.0,0.6956521739130435
112,1,12.411764705882353,3.5294117647058822,11.823529411764707,24.235294117647058,0.35294117647058826,0.29411764705882354,0.0,3.9411764705882355,2.176470588235294,4.882352941176471,5.588235294117647,5.705882352941177,0.8823529411764706,2.176470588235294,0.17647058823529413,11.117647058823529,13.058823529411764,0.11764705882352941,0.17647058823529413,0.9411764705882353,0.5294117647058824,0.6470588235294118
113,1,10.04,4.68,6.36,16.4,1.96,1.12,0.0,4.72,0.56,2.76,2.16,2.88,1.56,0.92,0.28,8.12,8.6,0.84,1.68,1.08,0.04,0.44
114,1,14.222222222222221,6.444444444444445,8.5,22.72222222222222,0.3333333333333333,0.16666666666666666,0.0,3.111111111111111,2.7222222222222223,3.2777777777777777,2.111111111111111,3.9444444444444446,0.8333333333333334,1.2222222222222223,0.1111111111111111,5.555555555555555,16.22222222222222,0.16666666666666666,0.1111111111111111,1.7777777777777777,0.1111111111111111,0.4444444444444444
116,1,9.727272727272727,1.2272727272727273,8.818181818181818,18.545454545454547,0.09090909090909091,0.18181818181818182,0.0,7.181818181818182,1.4545454545454546,3.4545454545454546,6.0,3.727272727272727,1.5909090909090908,2.1818181818181817,0.18181818181818182,12.727272727272727,6.181818181818182,0.0,0.045454545454545456,1.5454545454545454,0.045454545454545456,0.18181818181818182
117,1,13.75,3.5625,11.6875,25.4375,0.4375,0.4375,0.0,4.75,1.9375,3.875,3.75,4.625,1.6875,1.25,0.375,9.6875,14.8125,0.3125,0.3125,0.8125,0.0625,0.625
118,1,12.434782608695652,6.086956521739131,5.260869565217392,17.695652173913043,0.0,0.0,0.0,1.173913043478261,5.217391304347826,1.1304347826086956,0.21739130434782608,2.347826086956522,0.391304347826087,0.782608695652174,0.043478260869565216,3.9130434782608696,12.608695652173912,0.5217391304347826,0.0,4.173913043478261,0.6956521739130435,0.043478260869565216
120,1,12.555555555555555,3.888888888888889,9.88888888888889,22.444444444444443,0.4444444444444444,0.6666666666666666,0.0,2.7222222222222223,1.1111111111111112,5.166666666666667,5.888888888888889,4.222222222222222,1.1666666666666667,1.4444444444444444,0.3333333333333333,11.666666666666666,10.11111111111111,0.7777777777777778,1.0,2.2777777777777777,0.05555555555555555,1.0
121,1,11.130434782608695,3.1739130434782608,6.391304347826087,17.52173913043478,1.8695652173913044,1.7826086956521738,0.0,2.0869565217391304,0.21739130434782608,4.3478260869565215,3.608695652173913,4.260869565217392,0.6956521739130435,1.7826086956521738,0.5217391304347826,9.173913043478262,8.869565217391305,0.5652173913043478,1.434782608695652,1.4782608695652173,1.6521739130434783,0.7391304347826086
123,1,10.777777777777779,2.6666666666666665,11.444444444444445,22.22222222222222,0.1111111111111111,0.3333333333333333,0.0,5.055555555555555,0.6666666666666666,4.055555555555555,5.277777777777778,5.0,1.4444444444444444,1.7222222222222223,0.1111111111111111,10.333333333333334,11.944444444444445,0.1111111111111111,0.3888888888888889,1.0,0.1111111111111111,0.7777777777777778
124,1,12.454545454545455,6.0,5.5,17.954545454545453,1.0,0.2727272727272727,0.7727272727272727,2.227272727272727,4.318181818181818,1.9545454545454546,0.22727272727272727,2.909090909090909,0.8636363636363636,1.0454545454545454,0.22727272727272727,5.5,10.227272727272727,0.9545454545454546,0.5909090909090909,3.272727272727273,0.45454545454545453,0.3181818181818182
125,1,11.947368421052632,3.210526315789474,8.842105263157896,20.789473684210527,0.9473684210526315,0.9473684210526315,0.0,3.473684210526316,1.4210526315789473,4.421052631578948,5.105263157894737,3.789473684210526,0.9473684210526315,1.2105263157894737,0.5263157894736842,10.052631578947368,11.421052631578947,0.2631578947368421,0.5789473684210527,1.9473684210526316,0.47368421052631576,0.42105263157894735
127,1,8.08695652173913,2.608695652173913,9.043478260869565,17.130434782608695,0.21739130434782608,0.30434782608695654,27.304347826086957,3.739130434782609,1.391304347826087,2.260869565217391,4.0,4.826086956521739,1.1304347826086956,2.608695652173913,0.13043478260869565,9.130434782608695,7.826086956521739,0.43478260869565216,0.08695652173913043,3.6956521739130435,0.0,0.34782608695652173
